Model,Train Time (s),Test Accuracy,Test Precision,Test Recall,Test F1,Test AUC,CV Accuracy Mean,CV Accuracy Std,CV F1 Mean,CV F1 Std,Feature Set,Normal Precision,Attack Precision,Normal Recall,Attack Recall
Naive Bayes,0.0756783485412597,0.7399917407569353,0.7101892362026251,0.8916218124062473,0.7906303486723067,0.8313472789938973,0.8641162126750638,0.000642802818846,0.900818024582508,0.0005112243039349,first,0.8067193831385971,0.7101892362026251,0.5542162162162162,0.8916218124062473
Decision Tree,0.9683310985565186,0.8836296944080066,0.8419643027949419,0.9708814965146034,0.9018390451308846,0.9776685787857036,0.9377726941242396,0.0010628463484052,0.9550499721377916,0.0015942060182713,first,0.956086363485146,0.8419643027949419,0.7767297297297298,0.9708814965146034
Logistic Regression,1.0533640384674072,0.7775712967011612,0.7254627079891186,0.9589032030353832,0.826006403739632,0.8705361936320861,0.92612681431701,0.0009277064138323,0.9479733850191248,0.0006212143739932,first,0.9168785972426716,0.7254627079891186,0.5554054054054054,0.9589032030353832
Random Forest,5.93027925491333,0.871641646018559,0.8187252457092563,0.9849554398658784,0.8941803180197861,0.977303777714448,0.9595588061018964,0.0010847348651566,0.9705344437125132,0.0007954692739226,first,0.975464095553317,0.8187252457092563,0.7328108108108108,0.9849554398658784
Neural Network,59.11379289627075,0.8817592187727736,0.8381880712154895,0.973109503220683,0.9006237176019029,0.969179107116028,0.9501428699333256,0.0015777269268912,0.9635715076361332,0.001061269676565,first,0.958960374372959,0.8381880712154895,0.7698378378378379,0.973109503220683
Naive Bayes,0.060837984085083,0.7573118593013652,0.8429240050861673,0.6873069796170476,0.7572027462178748,0.8172696734721133,0.7634095748334273,0.002230507514967,0.7996362028619812,0.0024125925558797,second,0.6875619916683198,0.8429240050861673,0.843081081081081,0.6873069796170476
Decision Tree,0.440530776977539,0.8740708351552252,0.8218098814520286,0.9848230830318538,0.8959621096572208,0.9574822167861852,0.940361925541936,0.0011134820036646,0.9564563842452272,0.000789386394642,second,0.9754355898314768,0.8218098814520286,0.7383783783783784,0.9848230830318538
Logistic Regression,0.5026991367340088,0.7798061507068941,0.7208286655951164,0.9793964528368482,0.8304512508767828,0.8644732618328204,0.9194712042585224,0.0004431608072173,0.9432411480790548,0.0003090967209486,second,0.9549640773422056,0.7208286655951164,0.5352702702702703,0.9793964528368482
Random Forest,5.911062002182007,0.8672326677355099,0.8140095295470727,0.9836098120532956,0.8908090181701945,0.956017953131372,0.9540039174119423,0.0011229012362325,0.9664984007176318,0.0008301515921208,second,0.9730357466884412,0.8140095295470727,0.7246486486486486,0.9836098120532956
Neural Network,66.6577639579773,0.8505319924209299,0.7932203991760779,0.9854186887849644,0.8789351487486227,0.9590650814054148,0.944274308372489,0.0015076732878994,0.9595227714748312,0.0013170062636152,second,0.9745925584255842,0.7932203991760779,0.6852702702702703,0.9854186887849644
Naive Bayes,0.0161869525909423,0.7426759947529514,0.7244302338550768,0.8596576369893232,0.7862720174323589,0.8117253837155782,0.8439611853472476,0.0017395922599984,0.8829937097409182,0.0014768608368824,third,0.7770691709299881,0.7244302338550768,0.5993513513513513,0.8596576369893232
Decision Tree,0.1636080741882324,0.8102803284263713,0.7463845031179515,0.9927644930733256,0.8521225432650433,0.936288303888906,0.9317387251386628,0.0003579254071859,0.9518338253611424,0.0003375205068172,third,0.9851152659284806,0.7463845031179515,0.5867027027027027,0.9927644930733256
Logistic Regression,0.2707250118255615,0.7353762813972696,0.7129343245247527,0.8694961616518133,0.7834703187270794,0.7125304999034152,0.8538048615806613,0.0014556401021361,0.8915814985038082,0.0012487683451327,third,0.7812534664448142,0.7129343245247527,0.5710540540540541,0.8694961616518133
Random Forest,2.763077974319458,0.8405115872321819,0.7878739115664504,0.9720506485484868,0.8703251992376136,0.9461603658056716,0.9386110539048664,0.0015273144920404,0.9554581974618206,0.0011324707924357,third,0.9520130288224824,0.7878739115664504,0.6793513513513514,0.9720506485484868
Neural Network,25.864059925079346,0.7960574260311908,0.731878523958858,0.9936027530221476,0.8428912280701755,0.9327878731329936,0.9272218232105396,0.0009310293770271,0.9484974255976456,0.0009570233343929,third,0.98605031507047,0.731878523958858,0.554027027027027,0.9936027530221476
Naive Bayes,0.0187230110168457,0.7345382111451197,0.7146514519786409,0.8620841789464396,0.7814749640057591,0.7461806676746455,0.8462766702335458,0.0017405469983613,0.8853892792302375,0.0014935016475778,fourth,0.7738715277777778,0.7146514519786409,0.5782702702702702,0.8620841789464396
Decision Tree,0.1684658527374267,0.834681533304183,0.7741517293830916,0.9879775875761052,0.8680912923390027,0.942932837849762,0.9307691887110996,0.0017590133689768,0.9505740795268516,0.0013276704778825,fourth,0.977736018628212,0.7741517293830916,0.6468648648648648,0.9879775875761052
Logistic Regression,0.3040792942047119,0.7593645241218481,0.7142233563897656,0.9384540721785934,0.81112721171446,0.7225718193818103,0.8873737319166606,0.0022380371479477,0.918947087217024,0.0017719988429531,fourth,0.8774595924104006,0.7142233563897656,0.5399459459459459,0.9384540721785934
Random Forest,2.7283830642700195,0.844957003352281,0.7920440482809333,0.9741904173652166,0.8737251332983806,0.9511336312157036,0.9404360777803806,0.001528030878334,0.9567380968499958,0.0011144271598363,fourth,0.9559736594543744,0.7920440482809333,0.6866216216216217,0.9741904173652166
Neural Network,21.960052013397217,0.7899480153524754,0.7251324875541995,0.9960734139239388,0.8392780803330793,0.9370984320484784,0.929343404161464,0.0010690655520509,0.9496311838527228,0.0010644957254924,fourth,0.9911275047353204,0.7251324875541995,0.5374054054054054,0.9960734139239388
